name;description;relate1;relate2;;;;;;;;
ext_line01;extension line for alpha equal zero;dim01;dim02;;;;;;;;
ext_line02;extension line for alpha in posiotion n;dim02;;;;;;;;;
ext_line03;extension line for alpha in posiotion n+1;dim01;;;;;;;;;
ext_line04;extension line for gamma 1 (segment AB);dim06;;;;;;;;;
ext_line05;extension line for gamma 1 (segment BC);dim06;;;;;;;;;
ext_line06;extension line for gamma 2 (segment BC);dim07;;;;;;;;;
ext_line07;extension line for gamma 2 (segment CD);dim07;;;;;;;;;
ext_line08;extension line for delta Dx (verticaly from D point for alpha in position n);dim04;;;;;;;;;
ext_line09;extension line for delta Dx (verticaly from D point for alpha in position n+1);dim04;;;;;;;;;
ext_line10;extension line for delta Dy (horizontaly from D point for alpha in position n);dim05;;;;;;;;;
ext_line11;extension line for delta Dy (horizontaly from D point for alpha in position n+1);dim05;;;;;;;;;
;;;;;;;;;;;
dim_arc01;dimensional arc for gamma 1;dim06;;;;;;;;;
dim_arc02;dimensional arc for gamma 2;dim07;;;;;;;;;
dim_arc03.1;dimensional arc for alpha in position n (bottom);dim02;;;;;;;;;
dim_arc03.2;dimensional arc for alpha in position n (top);dim02;;;;;;;;;
dim_arc04.1;dimensional arc for alpha in position n+1 (bottom);dim01;;;;;;;;;
dim_arc04.2;dimensional arc for alpha in position n+1 (top);dim01;;;;;;;;;
;;;;;;;;;;;
dim_line01;dimensional line for delta D;dim03;;;;;;;;;
dim_line02;dimensional line for delta Dx;dim04;;;;;;;;;
dim_line03;dimensional line for delta Dy;dim05;;;;;;;;;
;;;;;;;;;;;
dim01;alpha n + 1;;;;;;;;;;
dim02;alpha n;;;;;;;;;;
dim03;delta D;;;;;;;;;;
dim04;delta Dx;;;;;;;;;;
dim05;delta Dy;;;;;;;;;;
dim06;gamma 1;;;;;;;;;;
dim07;gamma 2;;;;;;;;;;
